Album,Year of Release,Songs
Hybrid Theory,2000,
,,Papercut
,,One Step Closer
,,With You
,,Points Of Authority
,,Crawling
,,Runaway
,,By Myself
,,In The End
,,A Place For My Head
,,Forgotten
,,Cure For The Itch
,,Pushing Me Away
,,
Meteora,2003,
,,Foreword
,,Don't Stay
,,Somewhere I Belong
,,Lying From You
,,Hit The Floor
,,Easier To Run
,,Faint
,,Figure.09
,,Breaking The Habit
,,From The Inside
,,Nobody's Listening
,,Session
,,Numb
,,
Minutes To Midnight,2007,
,,Wake
,,Given Up
,,Leave Out All The Rest
,,Bleed It Out
,,Shadow Of The Day
,,What I've Done
,,Hands Held High
,,No More Sorrow
,,Valentine's Day
,,In Between
,,In Pieces
,,The Little Things Give You Away
,,
A Thousand Suns,2010,
,,The Requiem
,,The Radiance
,,Burning In The Skies
,,Empty Spaces
,,When They Come For Me
,,Robot Boy
,,Jornada Del Muerto
,,Waiting For The End
,,Blackout
,,Wretches And Kings
,,"Wisdom, Justice, And Love"
,,Iridescent
,,Fallout
,,The Catalyst
,,The Messenger
,,
Living Things,2012,
,,Lost In The Echo
,,In My Remains
,,Burn It Down
,,Lies Greed Misery
,,I'll Be Gone
,,Castle Of Glass
,,Victimized
,,Roads Untraveled
,,Skin To Bone
,,Until It Breaks
,,Tinfoil
,,Powerless
,,
The Hunting Party,2014,
,,Keys To The Kingdom
,,All For Nothing
,,Guilty All The Same
,,The Summoning
,,War
,,Wastelands
,,Until It's Gone
,,Rebellion
,,Mark The Graves
,,Drawbar
,,Final Masquerade
,,A Line In The Sand
,,
One More Light,2017,
,,Nobody Can Save Me
,,Good Goodbye
,,Talking To Myself
,,Battle Symphony
,,Invisible
,,Heavy
,,Sorry For Now
,,Halfway Right
,,One More Light
,,Sharp Edges
,,
